Priority Class: 1 | Queue Time: 0.013933658599853516
Priority Class: 2 | Queue Time: 0.15828871726989746
Priority Class: 1 | Queue Time: 0.005647182464599609
Priority Class: 2 | Queue Time: 0.4391903877258301
Priority Class: 2 | Queue Time: 1.2999684810638428
Priority Class: 1 | Queue Time: 0.49843335151672363
Priority Class: 2 | Queue Time: 0.49858736991882324
Priority Class: 1 | Queue Time: 0.48567748069763184
Priority Class: 2 | Queue Time: 0.7814722061157227
Priority Class: 1 | Queue Time: 0.4771435260772705
Priority Class: 2 | Queue Time: 1.4232604503631592
Priority Class: 1 | Queue Time: 0.46849656105041504
Priority Class: 2 | Queue Time: 0.6266107559204102
Priority Class: 1 | Queue Time: 0.4595222473144531
Priority Class: 2 | Queue Time: 0.183380126953125
Priority Class: 1 | Queue Time: 0.451732873916626
Priority Class: 2 | Queue Time: 2.2638702392578125
Priority Class: 1 | Queue Time: 0.4430372714996338
Priority Class: 2 | Queue Time: 1.1082642078399658
Priority Class: 1 | Queue Time: 0.4341263771057129
Priority Class: 2 | Queue Time: 0.6644179821014404
Priority Class: 1 | Queue Time: 0.426572322845459
Priority Class: 2 | Queue Time: 7.076364040374756
Priority Class: 1 | Queue Time: 0.41921520233154297
Priority Class: 2 | Queue Time: 0.14547514915466309
Priority Class: 1 | Queue Time: 0.4105668067932129
Priority Class: 2 | Queue Time: 0.06641483306884766
Priority Class: 1 | Queue Time: 0.4040219783782959
Priority Class: 2 | Queue Time: 2.8715968132019043
Priority Class: 1 | Queue Time: 0.3966219425201416
Priority Class: 2 | Queue Time: 1.353126049041748
Priority Class: 1 | Queue Time: 0.3894834518432617
Priority Class: 2 | Queue Time: 1.272411584854126
Priority Class: 1 | Queue Time: 0.37958455085754395
Priority Class: 2 | Queue Time: 0.833193302154541
Priority Class: 1 | Queue Time: 0.3691835403442383
Priority Class: 2 | Queue Time: 1.1169767379760742
Priority Class: 1 | Queue Time: 0.3616607189178467
Priority Class: 2 | Queue Time: 0.6725811958312988
Priority Class: 2 | Queue Time: 2.9800944328308105
Priority Class: 2 | Queue Time: 12.489378929138184
Priority Class: 2 | Queue Time: 10.46344780921936
Priority Class: 2 | Queue Time: 3.3966939449310303
Priority Class: 2 | Queue Time: 6.422732591629028
Priority Class: 2 | Queue Time: 20.614890813827515
Priority Class: 2 | Queue Time: 20.757073402404785
Priority Class: 2 | Queue Time: 12.610187768936157
Priority Class: 2 | Queue Time: 14.912052154541016
Priority Class: 2 | Queue Time: 19.379699230194092
Priority Class: 2 | Queue Time: 9.068559169769287
Priority Class: 2 | Queue Time: 6.323862791061401
Priority Class: 2 | Queue Time: 12.231816291809082
Priority Class: 2 | Queue Time: 23.18411111831665
Priority Class: 1 | Queue Time: 0.43888163566589355
Priority Class: 2 | Queue Time: 0.5777902603149414
Priority Class: 1 | Queue Time: 0.4273247718811035
Priority Class: 2 | Queue Time: 0.8603079319000244
Priority Class: 1 | Queue Time: 0.42012953758239746
Priority Class: 2 | Queue Time: 0.7759840488433838
Priority Class: 1 | Queue Time: 0.41240358352661133
Priority Class: 2 | Queue Time: 0.6929943561553955
Priority Class: 1 | Queue Time: 0.4052393436431885
Priority Class: 2 | Queue Time: 0.6110408306121826
Priority Class: 1 | Queue Time: 0.3939244747161865
Priority Class: 2 | Queue Time: 0.5322461128234863
Priority Class: 1 | Queue Time: 0.38541698455810547
Priority Class: 2 | Queue Time: 2.9808902740478516
Priority Class: 1 | Queue Time: 0.3779921531677246
Priority Class: 2 | Queue Time: 4.341994762420654
Priority Class: 1 | Queue Time: 0.3699047565460205
Priority Class: 2 | Queue Time: 0.2937173843383789
Priority Class: 1 | Queue Time: 0.36182332038879395
Priority Class: 2 | Queue Time: 0.5762591361999512
Priority Class: 1 | Queue Time: 0.3508434295654297
Priority Class: 2 | Queue Time: 0.494861364364624
Priority Class: 1 | Queue Time: 0.34316086769104004
Priority Class: 2 | Queue Time: 0.7764163017272949
Priority Class: 1 | Queue Time: 0.3354983329772949
Priority Class: 2 | Queue Time: 0.6989386081695557
Priority Class: 1 | Queue Time: 0.32726097106933594
Priority Class: 2 | Queue Time: 7.46475887298584
Priority Class: 1 | Queue Time: 0.318084716796875
Priority Class: 2 | Queue Time: 9.185604095458984
Priority Class: 2 | Queue Time: 6.447581052780151
Priority Class: 2 | Queue Time: 11.274690628051758
Priority Class: 2 | Queue Time: 8.528951168060303
Priority Class: 2 | Queue Time: 10.831481695175171
Priority Class: 2 | Queue Time: 10.250691652297974
Priority Class: 2 | Queue Time: 8.232822179794312
Priority Class: 2 | Queue Time: 10.893492221832275
Priority Class: 2 | Queue Time: 13.918154001235962
Priority Class: 2 | Queue Time: 18.75601291656494
Priority Class: 2 | Queue Time: 19.982548475265503
Priority Class: 2 | Queue Time: 33.99428939819336
Priority Class: 2 | Queue Time: 42.067291259765625
Priority Class: 2 | Queue Time: 18.954265356063843
Priority Class: 2 | Queue Time: 20.53736662864685
Priority Class: 2 | Queue Time: 34.19696497917175
Priority Class: 2 | Queue Time: 33.25653648376465
Priority Class: 2 | Queue Time: 43.127336263656616
Priority Class: 2 | Queue Time: 13.880268335342407
Priority Class: 2 | Queue Time: 50.61901926994324
Priority Class: 2 | Queue Time: 43.909451484680176
Priority Class: 2 | Queue Time: 22.599026203155518
Priority Class: 2 | Queue Time: 43.10759401321411
Priority Class: 2 | Queue Time: 19.63000988960266
Priority Class: 2 | Queue Time: 42.30973172187805
Priority Class: 2 | Queue Time: 47.49471473693848
Priority Class: 2 | Queue Time: 49.79850888252258
Priority Class: 2 | Queue Time: 37.327455282211304
Priority Class: 2 | Queue Time: 17.090601444244385
Priority Class: 2 | Queue Time: 27.689396858215332
Priority Class: 2 | Queue Time: 21.696009874343872
Priority Class: 2 | Queue Time: 54.46402668952942
Priority Class: 2 | Queue Time: 43.075894355773926
Priority Class: 2 | Queue Time: 47.899147033691406
Priority Class: 2 | Queue Time: 46.59724140167236
Priority Class: 2 | Queue Time: 20.957223415374756
Priority Class: 2 | Queue Time: 22.178277730941772
Priority Class: 2 | Queue Time: 47.379262924194336
Priority Class: 2 | Queue Time: 42.115718364715576
Priority Class: 2 | Queue Time: 52.35052442550659
Priority Class: 3 | Queue Time: 59.535730600357056
Priority Class: 3 | Queue Time: 59.71746230125427
Priority Class: 3 | Queue Time: 53.973976373672485
Priority Class: 3 | Queue Time: 34.743547677993774
Priority Class: 3 | Queue Time: 29.150940656661987
Priority Class: 3 | Queue Time: 34.7852737903595
Priority Class: 3 | Queue Time: 47.333003282547
Priority Class: 3 | Queue Time: 49.27320408821106
Priority Class: 3 | Queue Time: 51.69561266899109
Priority Class: 3 | Queue Time: 59.88479399681091
Priority Class: 3 | Queue Time: 61.66571044921875
Priority Class: 3 | Queue Time: 32.81695818901062
Priority Class: 3 | Queue Time: 34.4414746761322
Priority Class: 3 | Queue Time: 62.849138259887695
Priority Class: 3 | Queue Time: 42.02372622489929
Priority Class: 3 | Queue Time: 53.60036754608154
Priority Class: 3 | Queue Time: 55.542917013168335
Priority Class: 3 | Queue Time: 65.33135986328125
Priority Class: 3 | Queue Time: 37.92586708068848
Priority Class: 3 | Queue Time: 54.322453022003174
Priority Class: 3 | Queue Time: 52.25930976867676
Priority Class: 3 | Queue Time: 38.4703574180603
Priority Class: 3 | Queue Time: 42.81609225273132
Priority Class: 3 | Queue Time: 45.245662689208984
Priority Class: 3 | Queue Time: 63.39478302001953
Priority Class: 3 | Queue Time: 66.13746809959412
Priority Class: 3 | Queue Time: 62.47222352027893
Priority Class: 3 | Queue Time: 74.66441798210144
Priority Class: 3 | Queue Time: 64.43494606018066
Priority Class: 3 | Queue Time: 42.63785696029663
Priority Class: 3 | Queue Time: 58.068795680999756
Priority Class: 3 | Queue Time: 73.30621337890625
Priority Class: 3 | Queue Time: 70.9227225780487
Priority Class: 3 | Queue Time: 59.09683394432068
Priority Class: 3 | Queue Time: 71.28897166252136
Priority Class: 3 | Queue Time: 60.41553258895874
Priority Class: 3 | Queue Time: 62.04065823554993
Priority Class: 3 | Queue Time: 70.22604036331177
Priority Class: 3 | Queue Time: 48.909499645233154
Priority Class: 3 | Queue Time: 51.17420315742493
Priority Class: 3 | Queue Time: 66.28585076332092
Priority Class: 3 | Queue Time: 69.1882631778717
Priority Class: 3 | Queue Time: 48.50762224197388
Priority Class: 3 | Queue Time: 79.96365451812744
Priority Class: 3 | Queue Time: 70.37166786193848
Priority Class: 3 | Queue Time: 71.512047290802
Priority Class: 3 | Queue Time: 80.3416965007782
Priority Class: 3 | Queue Time: 74.27404117584229
Priority Class: 3 | Queue Time: 83.42272210121155
Priority Class: 3 | Queue Time: 53.13869524002075
Priority Class: 3 | Queue Time: 54.44203329086304
Priority Class: 3 | Queue Time: 55.583391427993774
Priority Class: 3 | Queue Time: 79.34401965141296
Priority Class: 3 | Queue Time: 85.29269123077393
Priority Class: 3 | Queue Time: 78.90121030807495
Priority Class: 3 | Queue Time: 59.669989824295044
Priority Class: 3 | Queue Time: 88.0723786354065
Priority Class: 3 | Queue Time: 78.80307459831238
Priority Class: 3 | Queue Time: 72.4163076877594
Priority Class: 3 | Queue Time: 86.69645190238953
Priority Class: 3 | Queue Time: 90.87581825256348
Priority Class: 3 | Queue Time: 75.84812045097351
Priority Class: 3 | Queue Time: 87.55772590637207
Priority Class: 3 | Queue Time: 87.57843542098999
Priority Class: 3 | Queue Time: 92.7203848361969
Priority Class: 3 | Queue Time: 79.9308853149414
Priority Class: 3 | Queue Time: 60.85330939292908
Priority Class: 3 | Queue Time: 83.49399065971375
Priority Class: 3 | Queue Time: 81.27534580230713
Priority Class: 3 | Queue Time: 67.1697027683258
Priority Class: 3 | Queue Time: 78.26902413368225
Priority Class: 3 | Queue Time: 64.6385817527771
Priority Class: 3 | Queue Time: 78.79429507255554
Priority Class: 3 | Queue Time: 85.37982726097107
Priority Class: 3 | Queue Time: 65.82284808158875
Priority Class: 3 | Queue Time: 85.4212920665741
Priority Class: 3 | Queue Time: 90.7274842262268
Priority Class: 3 | Queue Time: 95.5548927783966
Priority Class: 3 | Queue Time: 69.9148097038269
Priority Class: 3 | Queue Time: 70.25158476829529
Priority Class: 3 | Queue Time: 93.21077418327332
Priority Class: 3 | Queue Time: 75.10493302345276
Priority Class: 3 | Queue Time: 95.81318616867065
Priority Class: 3 | Queue Time: 94.39399862289429
Priority Class: 3 | Queue Time: 73.55837321281433
Priority Class: 3 | Queue Time: 92.35102343559265
Priority Class: 3 | Queue Time: 93.9720892906189
Priority Class: 3 | Queue Time: 73.29770040512085
Priority Class: 3 | Queue Time: 99.9409077167511
Priority Class: 3 | Queue Time: 100.12368202209473
